#Sp1	#Sp2	#Cor	#type
ESV_1	ESV_3035	-0.507	2
ESV_1	ESV_3039	-0.5838	2
ESV_1	ESV_3045	-0.5713	2
ESV_1	ESV_3055	-0.6343	2
ESV_1	ESV_3065	-0.5527	2
ESV_1	ESV_3072	-0.4844	2
ESV_1	ESV_3088	0.5323	1
ESV_1	ESV_3109	0.4383	1
ESV_1	ESV_3149	0.4325	1
ESV_1	ESV_3190	-0.566	2
ESV_1	ESV_3191	-0.4339	2
ESV_1	ESV_3212	0.4227	1
ESV_1	ESV_3224	-0.4756	2
ESV_1	ESV_3231	0.6057	1
ESV_1	ESV_3293	-0.5779	2
ESV_1	ESV_3331	-0.561	2
ESV_1	ESV_3359	-0.6059	2
ESV_1	ESV_3426	-0.468	2
ESV_1	ESV_3450	0.571	1
ESV_1	ESV_3491	-0.4335	2
ESV_1	ESV_3521	0.5017	1
ESV_1	ESV_3551	0.5682	1
ESV_1	ESV_3568	-0.5001	2
ESV_1	ESV_3647	-0.539	2
ESV_1	ESV_3692	-0.6351	2
ESV_1	ESV_3746	-0.4857	2
ESV_1	ESV_3747	-0.4387	2
ESV_1	ESV_3793	-0.5198	2
ESV_1	ESV_3888	-0.5359	2
ESV_1	ESV_3986	-0.5052	2
ESV_1	ESV_4052	-0.4307	2
ESV_1	ESV_4062	-0.4997	2
ESV_1	ESV_4205	-0.6479	2
ESV_1	ESV_4337	-0.6579	2
ESV_1	ESV_4374	-0.4491	2
ESV_1	ESV_4453	-0.4652	2
ESV_1	ESV_4505	-0.4257	2
ESV_1	ESV_4506	-0.5234	2
ESV_1	ESV_4591	0.7379	1
ESV_1	ESV_4630	-0.4403	2
ESV_1	ESV_4732	0.474	1
ESV_1	ESV_4781	-0.5577	2
ESV_1	ESV_5105	-0.5328	2
ESV_1	ESV_5383	-0.4604	2
ESV_1	ESV_5902	-0.4274	2
ESV_1	ESV_6459	-0.5736	2
ESV_1	ESV_6786	-0.4549	2
ESV_1	ESV_8356	-0.4425	2
ESV_1	ESV_9344	-0.4983	2
ESV_2	ESV_4	0.476	1
ESV_2	ESV_6	0.6498	1
ESV_2	ESV_8	0.4676	1
ESV_2	ESV_10	0.6677	1
ESV_2	ESV_13	0.794	1
ESV_2	ESV_14	-0.4984	2
ESV_2	ESV_18	0.5387	1
