#Sp1	#Sp2	#Cor	#type
ESV_2	ESV_2626	-0.5023	2
ESV_2	ESV_2684	-0.5359	2
ESV_2	ESV_2712	-0.6256	2
ESV_2	ESV_2746	0.5573	1
ESV_2	ESV_2748	0.4812	1
ESV_2	ESV_2759	-0.5839	2
ESV_2	ESV_2803	-0.507	2
ESV_2	ESV_2816	0.556	1
ESV_2	ESV_2819	0.4294	1
ESV_2	ESV_2881	0.5094	1
ESV_2	ESV_2899	0.5414	1
ESV_2	ESV_2924	0.4388	1
ESV_2	ESV_2953	-0.6533	2
ESV_2	ESV_2956	-0.425	2
ESV_2	ESV_2966	-0.4792	2
ESV_2	ESV_2967	0.5632	1
ESV_2	ESV_2968	0.4892	1
ESV_2	ESV_2978	-0.5056	2
ESV_2	ESV_3039	-0.5707	2
ESV_2	ESV_3072	-0.4865	2
ESV_2	ESV_3079	0.5082	1
ESV_2	ESV_3083	-0.5622	2
ESV_2	ESV_3100	-0.4772	2
ESV_2	ESV_3103	0.5105	1
ESV_2	ESV_3224	-0.5826	2
ESV_2	ESV_3262	-0.5521	2
ESV_2	ESV_3304	0.4977	1
ESV_2	ESV_3327	0.4767	1
ESV_2	ESV_3487	0.5689	1
ESV_2	ESV_3503	0.4687	1
ESV_2	ESV_3649	-0.4875	2
ESV_2	ESV_3654	-0.6071	2
ESV_2	ESV_3689	0.4651	1
ESV_2	ESV_3814	-0.4071	2
ESV_2	ESV_3840	0.4827	1
ESV_2	ESV_4025	0.5051	1
ESV_2	ESV_4095	0.4107	1
ESV_2	ESV_4216	0.5318	1
ESV_2	ESV_4497	-0.5641	2
ESV_2	ESV_4506	-0.4174	2
ESV_2	ESV_4733	0.4849	1
ESV_2	ESV_4760	-0.6125	2
ESV_2	ESV_4781	-0.4074	2
ESV_2	ESV_5284	0.5218	1
ESV_2	ESV_5656	0.4836	1
ESV_2	ESV_9166	-0.492	2
ESV_3	ESV_12	0.9805	1
ESV_3	ESV_14	0.5668	1
ESV_3	ESV_19	-0.5994	2
ESV_3	ESV_24	0.7334	1
ESV_3	ESV_29	0.4796	1
ESV_3	ESV_51	-0.5483	2
ESV_3	ESV_76	-0.6409	2
ESV_3	ESV_101	-0.6466	2
ESV_3	ESV_103	0.4833	1
ESV_3	ESV_130	0.6056	1
ESV_3	ESV_134	-0.482	2
ESV_3	ESV_138	0.5288	1
ESV_3	ESV_141	-0.7757	2
ESV_3	ESV_192	-0.5171	2
ESV_3	ESV_198	-0.5244	2
ESV_3	ESV_205	-0.675	2
ESV_3	ESV_206	0.6026	1
ESV_3	ESV_258	0.8786	1
ESV_3	ESV_261	-0.5371	2
ESV_3	ESV_303	-0.5831	2
ESV_3	ESV_347	-0.4998	2
ESV_3	ESV_376	-0.5456	2
ESV_3	ESV_384	-0.4864	2
