Sp1	Sp2	Cor	type
ESV_2	ESV_1894	-0.4356	1
ESV_2	ESV_1899	0.442	0
ESV_2	ESV_1914	0.4416	0
ESV_2	ESV_1972	-0.4818	1
ESV_2	ESV_2055	-0.4475	1
ESV_2	ESV_2440	-0.4521	1
ESV_2	ESV_2448	0.4286	0
ESV_2	ESV_2567	-0.4635	1
ESV_2	ESV_2587	-0.4291	1
ESV_2	ESV_2597	-0.5311	1
ESV_2	ESV_2606	-0.4359	1
ESV_2	ESV_2614	0.6057	0
ESV_2	ESV_2805	0.4585	0
ESV_2	ESV_2834	-0.4271	1
ESV_2	ESV_2966	-0.4886	1
ESV_2	ESV_3055	-0.6042	1
ESV_2	ESV_3133	-0.5133	1
ESV_2	ESV_3224	-0.7044	1
ESV_2	ESV_3470	-0.4608	1
ESV_2	ESV_3832	-0.5243	1
ESV_2	ESV_4043	0.4465	0
ESV_2	ESV_4374	-0.4743	1
ESV_2	ESV_4506	-0.6509	1
ESV_2	ESV_4781	-0.4974	1
ESV_2	ESV_6459	-0.44	1
ESV_2	ESV_9344	-0.5266	1
ESV_3	ESV_12	0.995	0
ESV_3	ESV_15	0.5786	0
ESV_3	ESV_16	-0.4914	1
ESV_3	ESV_17	0.6964	0
ESV_3	ESV_22	-0.4457	1
ESV_3	ESV_23	-0.5373	1
ESV_3	ESV_24	0.4338	0
ESV_3	ESV_29	0.6945	0
ESV_3	ESV_30	-0.4939	1
ESV_3	ESV_32	0.4997	0
ESV_3	ESV_36	-0.4819	1
ESV_3	ESV_39	0.4634	0
ESV_3	ESV_41	0.6184	0
ESV_3	ESV_43	0.452	0
ESV_3	ESV_47	0.6058	0
ESV_3	ESV_51	-0.4211	1
ESV_3	ESV_52	-0.5729	1
ESV_3	ESV_53	-0.4602	1
ESV_3	ESV_56	-0.6164	1
ESV_3	ESV_62	-0.5437	1
ESV_3	ESV_63	0.4993	0
ESV_3	ESV_67	0.4617	0
ESV_3	ESV_71	-0.5158	1
ESV_3	ESV_75	0.6633	0
ESV_3	ESV_76	-0.4682	1
ESV_3	ESV_78	-0.5064	1
ESV_3	ESV_80	-0.5167	1
ESV_3	ESV_82	0.6233	0
ESV_3	ESV_83	0.4727	0
ESV_3	ESV_84	0.4703	0
