#Sp1	#Sp2	#Cor	#type
ESV_3	ESV_389	-0.6013	2
ESV_3	ESV_409	-0.4766	2
ESV_3	ESV_410	-0.4663	2
ESV_3	ESV_413	-0.4389	2
ESV_3	ESV_427	-0.4588	2
ESV_3	ESV_428	-0.4609	2
ESV_3	ESV_445	-0.532	2
ESV_3	ESV_446	0.4643	1
ESV_3	ESV_447	-0.4517	2
ESV_3	ESV_450	-0.565	2
ESV_3	ESV_452	-0.4169	2
ESV_3	ESV_459	-0.4792	2
ESV_3	ESV_463	-0.4825	2
ESV_3	ESV_468	-0.4847	2
ESV_3	ESV_479	0.5612	1
ESV_3	ESV_486	-0.4518	2
ESV_3	ESV_489	-0.4739	2
ESV_3	ESV_490	-0.5254	2
ESV_3	ESV_499	-0.5993	2
ESV_3	ESV_505	-0.4818	2
ESV_3	ESV_513	-0.4454	2
ESV_3	ESV_514	-0.43120000000000003	2
ESV_3	ESV_516	-0.5301	2
ESV_3	ESV_531	-0.5002	2
ESV_3	ESV_532	-0.4711	2
ESV_3	ESV_540	0.5869	1
ESV_3	ESV_543	-0.4543	2
ESV_3	ESV_570	-0.5807	2
ESV_3	ESV_573	-0.4963	2
ESV_3	ESV_582	-0.4478	2
ESV_3	ESV_593	0.4456	1
ESV_3	ESV_594	-0.5818	2
ESV_3	ESV_604	0.4884	1
ESV_3	ESV_605	-0.4412	2
ESV_3	ESV_637	-0.4659	2
ESV_3	ESV_658	-0.5585	2
ESV_3	ESV_661	-0.4735	2
ESV_3	ESV_662	-0.4968	2
ESV_3	ESV_664	-0.4212	2
ESV_3	ESV_671	0.6114	1
ESV_3	ESV_674	-0.4172	2
ESV_3	ESV_684	-0.4995	2
ESV_3	ESV_685	-0.5507	2
ESV_3	ESV_691	-0.4209	2
ESV_3	ESV_701	0.5713	1
ESV_3	ESV_702	0.5313	1
ESV_3	ESV_727	-0.4778	2
ESV_3	ESV_729	0.4399	1
ESV_3	ESV_758	-0.4432	2
ESV_3	ESV_763	0.4268	1
ESV_3	ESV_804	0.5261	1
ESV_3	ESV_819	-0.5454	2
ESV_3	ESV_826	-0.4398	2
ESV_3	ESV_829	0.5233	1
ESV_3	ESV_843	-0.5199	2
ESV_3	ESV_890	0.4391	1
ESV_3	ESV_893	0.5099	1
ESV_3	ESV_896	-0.5324	2
ESV_3	ESV_909	0.4502	1
ESV_3	ESV_913	0.4262	1
ESV_3	ESV_926	-0.531	2
ESV_3	ESV_927	0.4553	1
ESV_3	ESV_929	0.4563	1
ESV_3	ESV_938	-0.4663	2
ESV_3	ESV_940	0.5652	1
ESV_3	ESV_951	-0.491	2
ESV_3	ESV_983	-0.6201	2
ESV_3	ESV_1027	-0.4311	2
ESV_3	ESV_1072	-0.5105	2
ESV_3	ESV_1073	0.4736	1
ESV_3	ESV_1124	0.4882	1
ESV_3	ESV_1165	0.4182	1
ESV_3	ESV_1169	0.4873	1
ESV_3	ESV_1178	0.4908	1
ESV_3	ESV_1185	0.4415	1
ESV_3	ESV_1187	-0.4665	2
ESV_3	ESV_1214	0.5045	1
ESV_3	ESV_1241	0.6092	1
ESV_3	ESV_1249	-0.4543	2
ESV_3	ESV_1261	0.4436	1
ESV_3	ESV_1273	0.5153	1
ESV_3	ESV_1274	0.4424	1
ESV_3	ESV_1282	0.4196	1
ESV_3	ESV_1314	0.4445	1
ESV_3	ESV_1330	-0.4286	2
ESV_3	ESV_1337	0.4362	1
ESV_3	ESV_1359	-0.4741	2
ESV_3	ESV_1377	0.6188	1
ESV_3	ESV_1381	0.4727	1
ESV_3	ESV_1431	0.4778	1
ESV_3	ESV_1438	0.4156	1
ESV_3	ESV_1537	0.4368	1
ESV_3	ESV_1545	0.428	1
ESV_3	ESV_1567	0.4815	1
ESV_3	ESV_1713	0.5992	1
ESV_3	ESV_1738	0.5785	1
ESV_3	ESV_1789	0.4946	1
ESV_3	ESV_1824	0.5284	1
ESV_3	ESV_2034	0.548	1
ESV_3	ESV_2052	0.5017	1
ESV_3	ESV_2077	0.537	1
ESV_3	ESV_2119	0.4663	1
ESV_3	ESV_2147	0.7176	1
ESV_3	ESV_2158	0.5014	1
ESV_3	ESV_2179	0.5413	1
ESV_3	ESV_2192	0.4285	1
ESV_3	ESV_2242	0.505	1
ESV_3	ESV_2302	0.4862	1
ESV_3	ESV_2348	0.4329	1
ESV_3	ESV_2360	0.4201	1
ESV_3	ESV_2456	0.6953	1
ESV_3	ESV_2516	0.4926	1
ESV_3	ESV_2552	0.4147	1
ESV_3	ESV_2567	0.4299	1
ESV_3	ESV_2589	0.5029	1
ESV_3	ESV_2685	0.4697	1
ESV_3	ESV_2692	0.5397	1
ESV_3	ESV_2879	0.5356	1
ESV_3	ESV_2966	0.5764	1
ESV_3	ESV_3111	0.4961	1
ESV_3	ESV_3116	0.4562	1
ESV_3	ESV_3187	0.6222	1
ESV_3	ESV_3224	0.5799	1
ESV_3	ESV_3357	0.4702	1
ESV_3	ESV_3502	0.4641	1
ESV_3	ESV_3645	0.6408	1
ESV_3	ESV_3702	0.464	1
ESV_3	ESV_4196	0.5182	1
ESV_3	ESV_4506	0.7026	1
ESV_3	ESV_4755	0.5602	1
ESV_3	ESV_4781	0.5273	1
ESV_3	ESV_4904	0.4173	1
ESV_3	ESV_5105	0.5406	1
ESV_3	ESV_5247	0.602	1
ESV_3	ESV_5424	0.5994	1
ESV_3	ESV_5747	0.5948	1
ESV_3	ESV_6014	0.4558	1
ESV_3	ESV_6194	0.5003	1
ESV_3	ESV_6275	0.5228	1
ESV_3	ESV_6459	0.6275	1
ESV_3	ESV_6493	0.4614	1
ESV_3	ESV_6637	0.5296	1
ESV_3	ESV_6646	0.6545	1
ESV_3	ESV_7152	0.5448	1
ESV_3	ESV_7279	0.6364	1
ESV_3	ESV_7878	0.5421	1
ESV_3	ESV_8255	0.4653	1
ESV_3	ESV_8355	0.5779	1
ESV_3	ESV_9081	0.4798	1
ESV_3	ESV_9154	0.5925	1
ESV_3	ESV_9560	0.4453	1
ESV_3	ESV_10231	0.4806	1
ESV_3	ESV_10400	0.6889	1
ESV_3	ESV_10927	0.4983	1
ESV_3	ESV_12756	0.5809	1
ESV_3	ESV_13346	0.4209	1
ESV_4	ESV_5	0.7796	1
ESV_4	ESV_7	0.7359	1
ESV_4	ESV_8	0.789	1
ESV_4	ESV_9	0.6512	1
ESV_4	ESV_11	0.6866	1
ESV_4	ESV_13	0.7429	1
ESV_4	ESV_15	0.5554	1
ESV_4	ESV_16	0.4687	1
ESV_4	ESV_17	0.6282	1
ESV_4	ESV_18	0.857	1
ESV_4	ESV_19	0.6029	1
ESV_4	ESV_20	0.4996	1
ESV_4	ESV_21	0.7094	1
ESV_4	ESV_27	0.594	1
ESV_4	ESV_31	0.8969	1
ESV_4	ESV_32	0.5479	1
ESV_4	ESV_35	0.62	1
ESV_4	ESV_36	0.562	1
ESV_4	ESV_37	0.68	1
ESV_4	ESV_40	0.5358	1
ESV_4	ESV_43	0.5655	1
ESV_4	ESV_48	0.4738	1
ESV_4	ESV_50	0.5275	1
ESV_4	ESV_56	0.6346	1
ESV_4	ESV_57	0.6065	1
ESV_4	ESV_61	0.7995	1
ESV_4	ESV_66	0.5722	1
ESV_4	ESV_67	0.5864	1
ESV_4	ESV_72	0.5808	1
ESV_4	ESV_76	0.5097	1
ESV_4	ESV_80	0.5524	1
ESV_4	ESV_81	0.5585	1
ESV_4	ESV_83	0.5705	1
ESV_4	ESV_87	0.5292	1
ESV_4	ESV_88	0.5393	1
ESV_4	ESV_89	0.613	1
ESV_4	ESV_90	0.528	1
ESV_4	ESV_98	0.59	1
ESV_4	ESV_99	0.6864	1
ESV_4	ESV_102	0.4448	1
ESV_4	ESV_105	0.4427	1
ESV_4	ESV_107	0.5017	1
ESV_4	ESV_119	0.4514	1
ESV_4	ESV_128	0.5776	1
ESV_4	ESV_129	0.5009	1
ESV_4	ESV_130	0.614	1
ESV_4	ESV_133	0.6111	1
ESV_4	ESV_138	0.4904	1
ESV_4	ESV_139	0.6718	1
ESV_4	ESV_140	0.4563	1
ESV_4	ESV_141	0.4477	1
ESV_4	ESV_144	0.428	1
ESV_4	ESV_149	0.5184	1
ESV_4	ESV_152	0.704	1
ESV_4	ESV_178	0.5073	1
ESV_4	ESV_181	0.5281	1
ESV_4	ESV_183	0.5922	1
ESV_4	ESV_184	0.4455	1
ESV_4	ESV_187	0.6417	1
ESV_4	ESV_191	0.4556	1
ESV_4	ESV_194	0.4781	1
ESV_4	ESV_201	0.4252	1
ESV_4	ESV_213	0.4409	1
ESV_4	ESV_223	0.4621	1
ESV_4	ESV_259	0.4525	1
ESV_4	ESV_270	0.653	1
ESV_4	ESV_279	0.4382	1
ESV_4	ESV_283	0.5985	1
ESV_4	ESV_294	0.4709	1
ESV_4	ESV_307	0.5208	1
ESV_4	ESV_338	0.4385	1
ESV_4	ESV_344	0.4544	1
ESV_4	ESV_391	0.5171	1
ESV_4	ESV_431	0.5794	1
ESV_4	ESV_457	-0.4407	2
ESV_4	ESV_484	0.493	1
ESV_4	ESV_580	0.4796	1
ESV_4	ESV_604	0.486	1
ESV_4	ESV_917	0.6562	1
ESV_4	ESV_981	0.4705	1
ESV_4	ESV_1042	-0.4352	2
ESV_4	ESV_1063	0.6357	1
ESV_4	ESV_1084	-0.4659	2
ESV_4	ESV_1122	0.5208	1
ESV_4	ESV_1157	-0.4352	2
ESV_4	ESV_1166	-0.4722	2
ESV_4	ESV_1260	-0.4535	2
ESV_4	ESV_1265	-0.4262	2
ESV_4	ESV_1280	0.4266	1
ESV_4	ESV_1402	-0.4643	2
ESV_4	ESV_1540	0.5935	1
ESV_4	ESV_1684	-0.5238	2
ESV_4	ESV_1739	-0.4319	2
ESV_4	ESV_1745	-0.4764	2
ESV_4	ESV_1799	-0.4273	2
ESV_4	ESV_1848	-0.4352	2
ESV_4	ESV_2028	-0.4823	2
ESV_4	ESV_2216	0.6272	1
ESV_4	ESV_2498	-0.4245	2
ESV_4	ESV_3273	-0.4221	2
ESV_4	ESV_3712	-0.4511	2
ESV_4	ESV_4584	-0.4892	2
ESV_4	ESV_6216	-0.4317	2
ESV_5	ESV_7	0.8494	1
ESV_5	ESV_8	0.7348	1
ESV_5	ESV_9	0.8526	1
ESV_5	ESV_11	0.6027	1
ESV_5	ESV_13	0.7041	1
ESV_5	ESV_15	0.6336	1
ESV_5	ESV_16	0.621	1
ESV_5	ESV_17	0.6073	1
ESV_5	ESV_18	0.7084	1
ESV_5	ESV_19	0.6443	1
ESV_5	ESV_21	0.746	1
ESV_5	ESV_25	0.4502	1
ESV_5	ESV_27	0.5675	1
ESV_5	ESV_31	0.7054	1
ESV_5	ESV_32	0.5366	1
ESV_5	ESV_35	0.5766	1
ESV_5	ESV_36	0.6436	1
ESV_5	ESV_37	0.6614	1
ESV_5	ESV_40	0.6466	1
ESV_5	ESV_43	0.4757	1
ESV_5	ESV_45	0.4979	1
ESV_5	ESV_48	0.5082	1
ESV_5	ESV_50	0.525	1
ESV_5	ESV_56	0.7063	1
ESV_5	ESV_57	0.5032	1
ESV_5	ESV_61	0.7941	1
ESV_5	ESV_66	0.5208	1
ESV_5	ESV_67	0.5104	1
ESV_5	ESV_72	0.6055	1
ESV_5	ESV_76	0.6474	1
ESV_5	ESV_78	0.5545	1
ESV_5	ESV_80	0.5574	1
ESV_5	ESV_83	0.4179	1
ESV_5	ESV_84	0.5596	1
ESV_5	ESV_85	0.5272	1
ESV_5	ESV_89	0.6654	1
ESV_5	ESV_98	0.5854	1
ESV_5	ESV_102	0.5183	1
ESV_5	ESV_107	0.6464	1
ESV_5	ESV_119	0.4827	1
ESV_5	ESV_128	0.4513	1
ESV_5	ESV_130	0.6051	1
ESV_5	ESV_133	0.6639	1
ESV_5	ESV_138	0.4612	1
ESV_5	ESV_139	0.716	1
ESV_5	ESV_140	0.5757	1
ESV_5	ESV_141	0.4579	1
ESV_5	ESV_144	0.4719	1
ESV_5	ESV_149	0.7144	1
ESV_5	ESV_152	0.648	1
ESV_5	ESV_156	0.4341	1
ESV_5	ESV_167	0.5984	1
ESV_5	ESV_168	0.4175	1
ESV_5	ESV_178	0.5285	1
ESV_5	ESV_181	0.6408	1
ESV_5	ESV_187	0.5492	1
ESV_5	ESV_216	0.5029	1
ESV_5	ESV_223	0.6062	1
ESV_5	ESV_270	0.6636	1
ESV_5	ESV_278	0.4942	1
ESV_5	ESV_283	0.5854	1
ESV_5	ESV_294	0.4457	1
ESV_5	ESV_302	0.6469	1
ESV_5	ESV_307	0.6227	1
ESV_5	ESV_321	0.4621	1
ESV_5	ESV_353	0.4378	1
ESV_5	ESV_371	0.4923	1
ESV_5	ESV_391	0.5436	1
ESV_5	ESV_431	0.5259	1
ESV_5	ESV_452	0.5497	1
ESV_5	ESV_456	0.4652	1
ESV_5	ESV_580	0.7058	1
ESV_5	ESV_590	0.6932	1
ESV_5	ESV_604	0.4445	1
ESV_5	ESV_733	0.6625	1
ESV_5	ESV_764	0.5122	1
ESV_5	ESV_917	0.5749	1
ESV_5	ESV_981	0.4639	1
ESV_5	ESV_1001	-0.4663	2
ESV_5	ESV_1063	0.5579	1
ESV_5	ESV_1122	0.4738	1
ESV_5	ESV_1186	-0.4683	2
ESV_5	ESV_1297	0.4565	1
ESV_5	ESV_1540	0.4599	1
ESV_5	ESV_1618	0.4149	1
ESV_5	ESV_1867	-0.4334	2
ESV_5	ESV_1986	-0.4202	2
ESV_5	ESV_2176	0.4485	1
ESV_5	ESV_2216	0.4839	1
ESV_5	ESV_5247	0.427	1
ESV_5	ESV_5424	0.4268	1
ESV_6	ESV_113	0.4233	1
ESV_6	ESV_408	0.4327	1
ESV_6	ESV_437	0.4321	1
ESV_6	ESV_578	0.4461	1
ESV_6	ESV_688	0.4263	1
ESV_6	ESV_839	-0.4154	2
ESV_6	ESV_4523	0.531	1
ESV_7	ESV_8	0.6685	1
ESV_7	ESV_9	0.9308	1
ESV_7	ESV_11	0.4957	1
ESV_7	ESV_13	0.6265	1
ESV_7	ESV_15	0.6481	1
ESV_7	ESV_16	0.7602	1
ESV_7	ESV_17	0.5846	1
ESV_7	ESV_18	0.6332	1
ESV_7	ESV_19	0.8353	1
ESV_7	ESV_21	0.7269	1
ESV_7	ESV_27	0.5505	1
ESV_7	ESV_31	0.7288	1
ESV_7	ESV_32	0.456	1
ESV_7	ESV_35	0.6683	1
ESV_7	ESV_36	0.8324	1
ESV_7	ESV_37	0.8133	1
ESV_7	ESV_40	0.8269	1
ESV_7	ESV_43	0.4553	1
ESV_7	ESV_46	0.4515	1
ESV_7	ESV_48	0.4647	1
ESV_7	ESV_50	0.5335	1
ESV_7	ESV_54	0.7039	1
ESV_7	ESV_56	0.8796	1
ESV_7	ESV_57	0.5577	1
ESV_7	ESV_61	0.8031	1
ESV_7	ESV_66	0.5297	1
ESV_7	ESV_67	0.5287	1
ESV_7	ESV_72	0.4946	1
ESV_7	ESV_76	0.8598	1
ESV_7	ESV_78	0.5316	1
ESV_7	ESV_80	0.5123	1
ESV_7	ESV_84	0.659	1
ESV_7	ESV_85	0.5002	1
ESV_7	ESV_89	0.7344	1
ESV_7	ESV_90	0.6322	1
ESV_7	ESV_98	0.7297	1
ESV_7	ESV_102	0.5106	1
ESV_7	ESV_107	0.7904	1
ESV_7	ESV_112	0.4494	1
ESV_7	ESV_119	0.461	1
ESV_7	ESV_130	0.8057	1
ESV_7	ESV_133	0.5305	1
ESV_7	ESV_138	0.4726	1
ESV_7	ESV_139	0.8038	1
ESV_7	ESV_140	0.7962	1
ESV_7	ESV_144	0.4624	1
ESV_7	ESV_149	0.7287	1
ESV_7	ESV_152	0.7072	1
ESV_7	ESV_156	0.419	1
ESV_7	ESV_167	0.479	1
ESV_7	ESV_168	0.5404	1
ESV_7	ESV_178	0.4844	1
ESV_7	ESV_181	0.501	1
ESV_7	ESV_187	0.4535	1
ESV_7	ESV_203	0.5504	1
ESV_7	ESV_223	0.4804	1
ESV_7	ESV_259	0.4794	1
ESV_7	ESV_270	0.642	1
ESV_7	ESV_278	0.7459	1
ESV_7	ESV_283	0.4699	1
ESV_7	ESV_302	0.5709	1
ESV_7	ESV_304	0.4861	1
ESV_7	ESV_307	0.7354	1
ESV_7	ESV_333	-0.4647	2
ESV_7	ESV_406	0.6673	1
ESV_7	ESV_431	0.4722	1
ESV_7	ESV_452	0.4996	1
ESV_7	ESV_564	0.4268	1
ESV_7	ESV_580	0.7394	1
ESV_7	ESV_590	0.7284	1
ESV_7	ESV_604	0.43120000000000003	1
ESV_7	ESV_733	0.6517	1
ESV_7	ESV_917	0.5016	1
ESV_7	ESV_979	-0.4318	2
ESV_7	ESV_1001	-0.5977	2
ESV_7	ESV_1063	0.6274	1
ESV_7	ESV_1118	-0.4249	2
ESV_7	ESV_1120	-0.4408	2
ESV_7	ESV_1122	0.4942	1
ESV_7	ESV_1139	-0.4412	2
ESV_7	ESV_1822	-0.4916	2
ESV_7	ESV_1848	-0.4726	2
ESV_7	ESV_2391	-0.4316	2
ESV_7	ESV_2872	0.4305	1
ESV_8	ESV_9	0.6387	1
ESV_8	ESV_11	0.457	1
ESV_8	ESV_13	0.9354	1
ESV_8	ESV_15	0.4302	1
ESV_8	ESV_16	0.5377	1
ESV_8	ESV_17	0.4451	1
ESV_8	ESV_18	0.5831	1
ESV_8	ESV_19	0.668	1
ESV_8	ESV_20	0.6181	1
ESV_8	ESV_21	0.5918	1
ESV_8	ESV_31	0.7006	1
ESV_8	ESV_35	0.4819	1
ESV_8	ESV_36	0.5393	1
ESV_8	ESV_37	0.5802	1
ESV_8	ESV_40	0.592	1
ESV_8	ESV_48	0.6758	1
ESV_8	ESV_51	0.4193	1
ESV_8	ESV_54	0.4979	1
ESV_8	ESV_56	0.6654	1
ESV_8	ESV_57	0.5105	1
ESV_8	ESV_59	-0.4224	2
ESV_8	ESV_61	0.8538	1
ESV_8	ESV_65	0.4237	1
ESV_8	ESV_72	0.6519	1
ESV_8	ESV_76	0.518	1
ESV_8	ESV_78	0.6123	1
ESV_8	ESV_81	0.5391	1
ESV_8	ESV_84	0.496	1
ESV_8	ESV_85	0.5485	1
ESV_8	ESV_89	0.4449	1
ESV_8	ESV_90	0.6621	1
ESV_8	ESV_98	0.4264	1
ESV_8	ESV_107	0.58	1
ESV_8	ESV_112	0.6452	1
ESV_8	ESV_128	0.5345	1
ESV_8	ESV_129	0.5248	1
ESV_8	ESV_130	0.551	1
ESV_8	ESV_133	0.6066	1
ESV_8	ESV_139	0.5602	1
ESV_8	ESV_141	0.5694	1
ESV_8	ESV_149	0.6815	1
ESV_8	ESV_152	0.5372	1
ESV_8	ESV_167	0.5597	1
