Sp1	Sp2	Cor
ESV_2	ESV_1382	0.5317
ESV_2	ESV_1408	0.5825
ESV_2	ESV_1411	-0.5745
ESV_2	ESV_1418	-0.7014
ESV_2	ESV_1425	0.7102
ESV_2	ESV_1438	-0.6799
ESV_2	ESV_1439	0.5197
ESV_2	ESV_1446	-0.6171
ESV_2	ESV_1459	-0.4823
ESV_2	ESV_1473	-0.5585
ESV_2	ESV_1480	-0.4758
ESV_2	ESV_1481	-0.4841
ESV_2	ESV_1483	0.4684
ESV_2	ESV_1494	-0.5607
ESV_2	ESV_1501	0.5845
ESV_2	ESV_1502	0.4988
ESV_2	ESV_1503	0.4761
ESV_2	ESV_1509	0.5948
ESV_2	ESV_1511	-0.5762
ESV_2	ESV_1513	0.5069
ESV_2	ESV_1537	-0.4664
ESV_2	ESV_1538	0.6061
ESV_2	ESV_1556	-0.5169
ESV_2	ESV_1562	0.5803
ESV_2	ESV_1607	0.4949
ESV_2	ESV_1608	0.5416
ESV_2	ESV_1618	-0.4586
ESV_2	ESV_1619	0.5965
ESV_2	ESV_1628	0.6141
ESV_2	ESV_1631	-0.4827
ESV_2	ESV_1633	0.4414
ESV_2	ESV_1662	0.4359
ESV_2	ESV_1667	-0.5345
ESV_2	ESV_1684	0.6153
ESV_2	ESV_1691	-0.6136
ESV_2	ESV_1735	0.4736
ESV_2	ESV_1737	0.5211
ESV_2	ESV_1745	0.5131
ESV_2	ESV_1766	-0.5517
ESV_2	ESV_1774	0.5591
ESV_2	ESV_1776	0.4895
ESV_2	ESV_1804	0.581
ESV_2	ESV_1816	0.5423
ESV_2	ESV_1822	0.4663
ESV_2	ESV_1826	-0.4712
ESV_2	ESV_1831	-0.4688
ESV_2	ESV_1854	-0.4665
ESV_2	ESV_1855	0.4411
ESV_2	ESV_1875	0.5971
ESV_2	ESV_1890	0.4798
ESV_2	ESV_1900	0.4734
ESV_2	ESV_1913	0.5565
ESV_2	ESV_1933	-0.6008
ESV_2	ESV_1948	-0.4367
ESV_2	ESV_1952	-0.4115
ESV_2	ESV_1961	0.5702
ESV_2	ESV_1981	-0.4788
ESV_2	ESV_1986	0.5349
ESV_2	ESV_1995	0.5091
ESV_2	ESV_1999	0.5592
ESV_2	ESV_2024	-0.4608
ESV_2	ESV_2026	-0.6671
ESV_2	ESV_2066	-0.566
ESV_2	ESV_2067	0.5914
ESV_2	ESV_2068	-0.5819
ESV_2	ESV_2084	-0.4832
ESV_2	ESV_2096	-0.5103
ESV_2	ESV_2101	0.5841
ESV_2	ESV_2113	0.583
ESV_2	ESV_2119	-0.4097
ESV_2	ESV_2121	0.5991
ESV_2	ESV_2123	-0.4683
ESV_2	ESV_2124	0.6614
ESV_2	ESV_2142	0.4993
ESV_2	ESV_2147	-0.4989
